iter	RMSE
0	24077960.19
1	23551217.86
2	23047506.91
3	22548046.68
4	22066580.13
5	21600558.26
6	21149516.74
7	20719386.36
8	20299219.82
9	19902200.05
10	19511543.47
11	19133916.58
12	18770114.11
13	18415880.77
14	18084319.3
15	17758029.86
16	17438156.62
17	17127638.17
18	16827072.96
19	16528746.09
20	16259501.47
21	15987217.05
22	15733374.81
23	15490365.35
24	15248298.8
25	15015297.81
26	14796086.65
27	14579307
28	14366771.88
29	14165752.44
30	13963994.5
31	13780621.08
32	13606457.55
33	13423907.68
34	13260887.32
35	13092259.79
36	12923188.65
37	12761772.84
38	12604771.79
39	12453406.26
40	12316856.52
41	12187380.82
42	12053055.63
43	11930325.26
44	11810406.84
45	11699463.56
46	11592734.92
47	11475491.02
48	11375659.56
49	11276280.97
50	11185344.83
51	11090805.99
52	10997507.53
53	10907064.22
54	10818632.7
55	10738585.58
56	10659398.09
57	10585986.98
58	10506418.87
59	10432140.4
60	10359915.68
61	10296592.9
62	10230954.66
63	10167860.65
64	10103287.3
65	10046035.65
66	9991819.697
67	9934326.745
68	9877844.08
69	9826775.732
70	9771644.186
71	9727141.714
72	9683248.218
73	9638296.074
74	9590157.729
75	9550602.499
76	9508940.916
77	9467384.841
78	9428444.167
79	9393511.508
80	9356584.08
81	9324781.758
82	9291957.618
83	9259125.458
84	9226054.36
85	9194651.699
86	9163118.544
87	9131020.207
88	9105031.966
89	9073138.459
90	9045530.643
91	9016800.179
92	8990620.797
93	8963882.468
94	8939474.431
95	8916314.323
96	8891338.601
97	8869076.088
98	8843935.741
99	8819109.768
100	8796721.874
101	8772732.984
102	8751636.714
103	8731945.08
104	8711202.046
105	8689827.796
106	8666536.949
107	8645175.747
108	8625615.67
109	8606331.511
110	8589015.891
111	8571490.26
112	8553286.811
113	8535084.365
114	8515069.483
115	8500240.06
116	8484289.531
117	8470632.233
118	8456521.082
119	8441917.923
120	8421863.001
121	8408908.21
122	8393079.757
123	8379202.829
124	8361403.619
125	8350582.064
126	8336913.969
127	8323550.069
128	8311377.644
129	8296171.765
130	8284860.045
131	8272522.415
132	8263943.271
133	8250773.752
134	8240417.5
135	8228037.629
136	8214373.632
137	8202308.623
138	8190461.498
139	8180645.156
140	8167445.005
141	8155900.79
142	8143597.378
143	8130772.036
144	8121525.887
145	8110552.32
146	8102212.131
147	8095408.147
148	8087362.755
149	8079215.605
150	8073594.922
151	8067224.94
152	8059811.479
153	8053247.542
154	8046363.238
155	8040733.092
156	8035439.035
157	8027973.345
158	8024451.87
159	8013460.282
160	8006638.7
161	7996694.932
162	7984905.913
163	7975264.381
164	7970704.469
165	7964063.101
166	7953878.127
167	7946401.657
168	7940498.29
169	7936584.721
170	7926898.992
171	7920676.578
172	7914158.24
173	7909052.97
174	7900385.592
175	7895167.682
176	7890282.093
177	7883795.018
178	7869709.022
179	7861523.899
180	7857849.261
181	7852120.396
182	7847442.023
183	7837346.496
184	7832868.025
185	7827206.669
186	7823768.605
187	7818020.854
188	7813920.695
189	7805838.697
190	7802677.994
191	7797324.258
192	7789837.507
193	7782643.308
194	7779349.109
195	7776526.74
196	7764408.073
197	7754144.351
198	7750443.769
199	7737303.579
200	7734865.551
201	7727009.448
202	7723536.649
203	7716810.149
204	7713465.082
205	7708435.237
206	7702456.546
207	7698993.501
208	7694939.546
209	7689486.367
210	7684184.618
211	7677106.121
212	7673122.242
213	7666747.258
214	7664771.084
215	7658541.191
216	7652476.977
217	7649325.207
218	7646547.255
219	7640090.132
220	7637241.53
221	7633264.476
222	7622019.607
223	7616344.026
224	7610679.001
225	7608223.675
226	7604003.579
227	7599914.565
228	7595453.057
229	7589472.404
230	7585954.311
231	7579743.788
232	7572808.803
233	7568594.175
234	7565392.866
235	7558780.109
236	7554222.44
237	7549793.871
238	7548479.72
239	7545286.285
240	7541347.548
241	7534575.739
242	7530678.375
243	7526728.855
244	7523618.91
245	7520256.521
246	7515884.047
247	7513454.414
248	7508714.797
249	7503096.03
250	7492184.183
251	7488568.072
252	7479527.375
253	7477901.55
254	7473006.413
255	7470565.104
256	7464705.223
257	7461144.263
258	7453695.781
259	7449689.748
260	7446191.107
261	7437706.147
262	7433103.716
263	7431507.547
264	7426174.301
265	7419404.798
266	7415804.886
267	7409523.041
268	7401389.448
269	7397265.944
270	7390655.536
271	7385315.687
272	7380391.754
273	7376049.029
274	7371196.439
275	7363031.526
276	7356348.269
277	7354340.907
278	7350050.164
279	7342492.94
280	7339537.737
281	7335513.706
282	7332026.48
283	7327538.702
284	7320961.671
285	7317968.356
286	7315792.919
287	7311465.399
288	7303275.444
289	7300652.946
290	7294637.327
291	7291531.326
292	7284240.538
293	7281898.724
294	7279557.27
295	7275345.315
296	7267460.622
297	7261833.027
298	7253626.168
299	7251956.243
300	7246146.089
301	7241897.828
302	7240214.987
303	7234262.898
304	7227755.25
305	7223262.553
306	7219963.121
307	7215067.27
308	7211130.705
309	7205024.475
310	7194777.699
311	7184115.931
312	7179936.294
313	7176047.631
314	7171687.066
315	7168843.613
316	7162922.33
317	7158958.628
318	7154818.63
319	7148883.35
320	7144071.291
321	7140387.088
322	7137534.677
323	7133641.168
324	7130317.465
325	7127234.869
326	7123159.81
327	7121191.799
328	7115367.095
329	7112125.311
330	7102160.788
331	7099898.715
332	7097614.161
333	7094693.331
334	7090743.668
335	7084683.756
336	7079363.021
337	7071433.891
338	7069412.262
339	7063716.508
340	7061207.558
341	7056773.394
342	7055061.892
343	7051008.547
344	7048188.161
345	7042320.255
346	7038012.245
347	7034460.45
348	7030051.129
349	7024829.388
350	7022963.022
351	7020301.545
352	7015564.019
353	7008118.49
354	7004309.399
355	7000341.047
356	6997391.632
357	6988962.835
358	6986913.392
359	6984236.791
360	6981091.392
361	6978646.335
362	6974710.466
363	6966759.97
364	6964362.625
365	6960582.034
366	6958401.434
367	6955308.317
368	6953895.67
369	6945507.43
370	6942169.711
371	6938721.562
372	6933326.78
373	6926417.681
374	6918491.229
375	6913850.668
376	6911659.132
377	6908961.269
378	6905335.234
379	6901721.895
380	6899252.095
381	6895689.553
382	6892437.415
383	6887700.489
384	6883169.762
385	6877006.991
386	6874244.675
387	6868780.488
388	6861398.416
389	6857675.479
390	6851956.229
391	6847425.472
392	6844263.634
393	6842881.834
394	6839083.776
395	6834018.287
396	6832249.332
397	6830560.088
398	6828548.237
399	6826276.161
400	6824464.576
401	6822877.991
402	6820156.826
403	6818546.531
404	6815290.09
405	6808308.824
406	6803854.934
407	6801021.01
408	6796143.852
409	6792245.873
410	6786729.552
411	6785549.189
412	6780277.415
413	6773717.011
414	6770906.259
415	6768778.182
416	6766427.663
417	6763653.456
418	6762033.4
419	6757418.297
420	6750785.855
421	6746134.025
422	6743720.421
423	6742469.031
424	6738970.766
425	6734855.795
426	6731298.526
427	6728903.415
428	6724770.976
429	6720714.859
430	6714364.759
431	6711925.551
432	6706990.295
433	6704581.698
434	6702812.589
435	6700593.987
436	6699263.472
437	6698270.04
438	6695338.191
439	6693465.281
440	6691517.046
441	6689076.29
442	6686128.092
443	6684797.742
444	6678694.377
445	6675908.188
446	6674425.32
447	6671774.919
448	6667994.003
449	6662312.819
450	6660450.654
451	6658527.081
452	6652265.589
453	6650721
454	6648744.821
