iter	Passed	Remaining
0	13	13868
1	27	13535
2	40	13300
3	53	13229
4	66	13332
5	80	13357
6	93	13277
7	107	13389
8	122	13454
9	135	13387
10	148	13343
11	162	13352
12	175	13312
13	188	13253
14	201	13204
15	215	13266
16	229	13275
17	242	13243
18	255	13212
19	269	13203
20	282	13187
21	296	13168
22	310	13175
23	322	13129
24	335	13099
25	349	13075
26	362	13058
27	375	13042
28	389	13027
29	402	13015
30	418	13068
31	431	13059
32	445	13051
33	460	13083
34	474	13082
35	489	13102
36	503	13108
37	518	13115
38	532	13128
39	547	13128
40	559	13096
41	573	13082
42	588	13094
43	600	13056
44	613	13022
45	629	13050
46	642	13027
47	657	13036
48	671	13026
49	685	13015
50	698	12991
51	712	12995
52	727	13001
53	741	12996
54	756	12999
55	769	12975
56	784	12973
57	799	12980
58	813	12972
59	826	12949
60	842	12965
61	855	12942
62	870	12944
63	884	12930
64	897	12914
65	911	12906
66	926	12898
67	941	12910
68	957	12914
69	971	12909
70	986	12908
71	1001	12906
72	1014	12880
73	1027	12857
74	1042	12854
75	1056	12845
76	1072	12855
77	1087	12851
78	1101	12844
79	1114	12821
80	1130	12830
81	1145	12826
82	1160	12818
83	1173	12797
84	1188	12797
85	1203	12794
86	1218	12788
87	1233	12780
88	1245	12748
89	1262	12769
90	1276	12746
91	1289	12726
92	1305	12734
93	1318	12712
94	1333	12706
95	1346	12679
96	1361	12676
97	1377	12674
98	1390	12659
99	1405	12653
100	1420	12645
101	1436	12643
102	1449	12621
103	1462	12603
104	1476	12586
105	1490	12571
106	1506	12571
107	1522	12570
108	1535	12549
109	1549	12539
110	1563	12519
111	1577	12506
112	1592	12497
113	1605	12476
114	1622	12482
115	1637	12478
116	1652	12468
117	1664	12444
118	1680	12440
119	1694	12428
120	1709	12416
121	1723	12404
122	1739	12400
123	1752	12379
124	1767	12371
125	1782	12361
126	1798	12362
127	1811	12341
128	1826	12332
129	1839	12309
130	1853	12297
131	1867	12279
132	1883	12277
133	1896	12257
134	1910	12242
135	1923	12222
136	1938	12211
137	1952	12193
138	1966	12180
139	1982	12179
140	1998	12176
141	2013	12165
142	2026	12146
143	2041	12132
144	2055	12119
145	2068	12101
146	2084	12093
147	2099	12087
148	2114	12074
149	2127	12058
150	2143	12050
151	2157	12036
152	2172	12024
153	2186	12013
154	2201	12000
155	2214	11983
156	2228	11964
157	2243	11955
158	2257	11938
159	2270	11921
160	2285	11907
161	2298	11889
162	2313	11878
163	2326	11860
164	2340	11845
165	2355	11834
166	2368	11814
167	2383	11803
168	2397	11787
169	2411	11772
170	2424	11754
171	2438	11740
172	2453	11727
173	2467	11712
174	2480	11692
175	2494	11680
176	2509	11666
177	2522	11650
178	2537	11637
179	2551	11621
180	2564	11605
181	2578	11589
182	2593	11579
183	2606	11561
184	2622	11552
185	2637	11542
186	2656	11547
187	2669	11527
188	2683	11512
189	2696	11497
190	2711	11484
191	2726	11472
192	2740	11459
193	2754	11444
194	2769	11432
195	2784	11420
196	2796	11399
