iter	RMSE
0	24078907.35
1	23555847.77
2	23042521.05
3	22541332.73
4	22063826.49
5	21605693.51
6	21164329.87
7	20729217.18
8	20305078.42
9	19909440.21
10	19515327.76
11	19134670.87
12	18767048.21
13	18418194.42
14	18067903.27
15	17725491.35
16	17395864.71
17	17087921.98
18	16785892.49
19	16498025.67
20	16218170.76
21	15958666.82
22	15698642.03
23	15437521.35
24	15199924.11
25	14968326.61
26	14748767.24
27	14523848.47
28	14304713.09
29	14102882.95
30	13907296.19
31	13713709.65
32	13531563.92
33	13347334.31
34	13179014.78
35	13020287.02
36	12858322.51
37	12708067.74
38	12554661.89
39	12417138.74
40	12286255.68
41	12164520.01
42	12048250
43	11923072.04
44	11806211.94
45	11696245.73
46	11587790.14
47	11479438.96
48	11376762.37
49	11278055.91
50	11178974.28
51	11088455.95
52	10998537.21
53	10916707.75
54	10833264.68
55	10742572.58
56	10667273.32
57	10595363.9
58	10523091.28
59	10446477.94
60	10379349.47
61	10308297.37
62	10239174.26
63	10179064.05
64	10122507.35
65	10065268.24
66	10005857.49
67	9953548.879
68	9897512.667
69	9844118.204
70	9796025.381
71	9752573.666
72	9705010.599
73	9662721.204
74	9620728.92
75	9581120.215
76	9544181.213
77	9501058.444
78	9455497.774
79	9419408.917
80	9382554.285
81	9345533.708
82	9312256.717
83	9282824.946
84	9251473.76
85	9213655.089
86	9183164.789
87	9156059.067
88	9124880.782
89	9095283.444
90	9066359.138
91	9033932.093
92	9007731.548
93	8983098.045
94	8958132.079
95	8934175.538
96	8911389.773
97	8887832.279
98	8864451.749
99	8842760.448
100	8822527.615
101	8800020.072
102	8773535.549
103	8755773.783
104	8732694.966
105	8715142.365
106	8697391.544
107	8673086.18
108	8653716.323
109	8636156.178
110	8617942.515
111	8602342.703
112	8583872.25
113	8566805.671
114	8552651.423
115	8536283.856
116	8519681.59
117	8504107.061
118	8491156.157
119	8473379.577
120	8461799.282
121	8445644.798
122	8431944.734
123	8416872.809
124	8403696.86
125	8389137.353
126	8376534.635
127	8365573.824
128	8353747.316
129	8338863.57
130	8327969.154
131	8315335.695
132	8301460.396
133	8288228.397
134	8274996.138
135	8265988.626
136	8257190.313
137	8242109.794
138	8228867.57
139	8221189.764
140	8207462.646
141	8195708.617
142	8182416.596
143	8173132.156
144	8163630.932
145	8152427.733
146	8139396.123
147	8132165.284
148	8123009.237
149	8114166.01
150	8103282.379
151	8094923.762
152	8088739.495
153	8080017.496
154	8074622.308
155	8068881.851
156	8058690.087
157	8043410.307
158	8037569.707
159	8032695.989
160	8026929.514
161	8020512.023
162	8013153.261
163	8007056.573
164	7997286.637
165	7990978.143
166	7985050.644
167	7976366.809
168	7971941.462
169	7968492.9
170	7963793.338
171	7956970.951
172	7951990.48
173	7946142.574
174	7942011.757
175	7939144.975
176	7930440.684
177	7926126.726
178	7921640.835
179	7912173.407
180	7909552.311
181	7906457.031
182	7903996.237
183	7901552.836
184	7895277.81
185	7888791.023
186	7879345.334
187	7869301.826
188	7865034.389
189	7856487.712
190	7850330.659
191	7846902.697
192	7839634.212
193	7836522.58
194	7825202.037
195	7823062.582
196	7813826.001
197	7807152.305
198	7803877.355
199	7798752.351
200	7796599.312
201	7789220.477
202	7786640.352
203	7782466.657
204	7778436.807
205	7770576.545
206	7767150.683
207	7761279.577
208	7758496.697
209	7754954.331
210	7746490.027
211	7739572.68
212	7735236.11
213	7728623.452
214	7724178.779
215	7719929.948
216	7711889.694
217	7701693.042
218	7694995.882
219	7687916.417
220	7681418.465
221	7679667.208
222	7674836.036
223	7673467.907
224	7671463.456
225	7665136.697
226	7658701.172
227	7655011.067
228	7648712.011
229	7640905.545
230	7637062.845
231	7631715.987
232	7627417.674
233	7620594.538
234	7610985.891
235	7606154.064
236	7600764.317
237	7594692.268
238	7587607.11
239	7585127.258
240	7581651.102
241	7571122.658
242	7564404.549
243	7558022.306
244	7554148.602
245	7547398.331
246	7543678.529
247	7535260.155
248	7527022.004
249	7521662.741
250	7519603.915
251	7509318.277
252	7502903.254
253	7499632.813
254	7495254.399
255	7485978.027
256	7478706.033
257	7471165.529
258	7468633.352
259	7458906.226
260	7451078.948
261	7449950.73
262	7443896.539
263	7436187.076
264	7434888.095
265	7430687.072
266	7427810.358
267	7424216.956
268	7420208.939
269	7417527.954
270	7413204.445
271	7409397.327
272	7404359.075
273	7397541.764
274	7391564.779
275	7384518.286
276	7379386.857
277	7374163.991
278	7368690.056
279	7361437.341
280	7354165.014
281	7349644.701
282	7340796.634
283	7333445.071
284	7326698.208
285	7324148.146
286	7321218.559
287	7315931.998
288	7310910.097
289	7307585.314
290	7302781.764
291	7298918.857
292	7292590.77
293	7286196.509
294	7282698.751
295	7272919.227
296	7267819.53
297	7264423.978
298	7257891.827
299	7253142.262
300	7248995.319
301	7244769.321
302	7243830.625
303	7238352.278
304	7234776.202
305	7228146.274
306	7222422.003
307	7216712.438
308	7211766.774
309	7207129.647
310	7201930.865
311	7198269.946
312	7193426.674
313	7189166.699
314	7184560.797
315	7174368.855
316	7171775.009
317	7169572.628
318	7166984.029
319	7162350.012
320	7158401.291
321	7151798.936
322	7149982.358
323	7140973.649
324	7137176.573
325	7134014.899
326	7131904.355
327	7129323.887
328	7121015.496
329	7114462.948
330	7106755.76
331	7101430.051
332	7100348.994
333	7097297.431
334	7095237.219
335	7093299.276
336	7088332.492
337	7083360.322
338	7078655.123
339	7072812.854
340	7070289.39
341	7068692.988
342	7060826.256
343	7058127.823
344	7052399.953
345	7049539.286
346	7047430.596
347	7042167.553
348	7040170.1
349	7036238.04
350	7028162.437
351	7025917.321
352	7022113.12
353	7017553.224
354	7015478.579
355	7013139.101
356	7008354.763
357	7000983.392
358	6997619.881
359	6994324.836
360	6992982.788
361	6987997.321
362	6980068.265
363	6978147.117
364	6972371.775
365	6964645.658
366	6959944.822
367	6955525.286
368	6951410.986
369	6950144.103
370	6947249.649
371	6944317.57
372	6940568.511
373	6938109.605
374	6933568.09
375	6930053.993
376	6924808.531
377	6921181.916
378	6918125.41
379	6915413.428
380	6912402.142
381	6909317.425
382	6907485.443
383	6904521.132
384	6900621.832
385	6898376.595
386	6895189.563
387	6891597.95
388	6888562.092
389	6880912.705
390	6878006.376
391	6875919.803
392	6871904.098
393	6869334.725
394	6866332.612
395	6863480.179
396	6856799.72
397	6855335.255
398	6853102.394
399	6851389.93
400	6844565.4
401	6838149.682
402	6832933.884
403	6831038.186
404	6829313.458
405	6824212.97
406	6821736.541
407	6814595.943
408	6812402.67
409	6810266.51
410	6805191.031
411	6801348.69
412	6798422.129
413	6794986.094
414	6788292.424
415	6782139.65
416	6776676.103
417	6772534.806
418	6769677.17
419	6766652.14
420	6762141.642
421	6760319.072
422	6751800.664
423	6748847.052
424	6744218.49
425	6740822.338
426	6737326.089
427	6731011.576
428	6727572.192
429	6724039.27
430	6721892.247
431	6719890.812
432	6718120.236
433	6715375.256
434	6712498.567
435	6710910.617
436	6705356.831
437	6700799.919
438	6698991.92
439	6697113.46
440	6694634.905
441	6691288.99
442	6688046.256
443	6684176.971
444	6682321.841
445	6680200.826
446	6676054.207
447	6671834.951
448	6670023.189
449	6668499.037
450	6666235.963
451	6663105.567
452	6659928.444
453	6653498.161
454	6650282.449
455	6648326.172
456	6645623.625
457	6641845.701
458	6640373.404
459	6636317.714
460	6634708.632
461	6633176.656
462	6628424.697
463	6625157.515
464	6621611.163
465	6618452.47
466	6616280.084
467	6614561.715
468	6611914.439
469	6610144.153
470	6608663.917
471	6604985.492
472	6603281.421
473	6599609.617
474	6596591.514
475	6595531.542
476	6593736.249
477	6588386.253
478	6584894.19
479	6583246.849
480	6580684.27
481	6578507.121
482	6576394.784
483	6573056.755
484	6570290.397
485	6566765.08
486	6564262.325
487	6560650.845
488	6559313.265
489	6555947.966
490	6554593.146
491	6552246.277
492	6549893.909
493	6547824.363
