iter	Passed	Remaining
0	12	12397
1	25	12497
2	36	12184
3	48	12097
4	60	12051
5	72	12028
6	85	12088
7	97	12072
8	109	12026
9	120	11937
10	132	11884
11	144	11871
12	157	11943
13	168	11864
14	182	11967
15	195	12014
16	208	12084
17	220	12041
18	232	12020
19	245	12043
20	258	12055
21	270	12013
22	282	11986
23	295	12014
24	307	11989
25	320	11995
26	332	11977
27	345	11989
28	358	12000
29	369	11961
30	381	11938
31	394	11943
32	407	11929
33	420	11954
34	433	11957
35	445	11935
36	458	11922
37	470	11906
38	482	11887
39	494	11863
40	507	11859
41	519	11843
42	531	11835
43	545	11851
44	558	11843
45	570	11837
46	583	11833
47	597	11847
48	609	11833
49	623	11840
50	637	11867
51	651	11878
52	665	11882
53	676	11852
54	690	11858
55	703	11866
56	716	11853
57	729	11853
58	743	11861
59	757	11870
60	771	11869
61	784	11873
62	799	11887
63	812	11880
64	826	11883
65	838	11870
66	852	11867
67	865	11859
68	878	11859
69	894	11879
70	908	11882
71	920	11866
72	934	11871
73	948	11863
74	962	11866
75	975	11857
76	987	11831
77	1000	11830
78	1014	11822
79	1027	11816
80	1041	11811
81	1054	11801
82	1066	11784
83	1080	11787
84	1093	11771
85	1107	11773
86	1121	11767
87	1135	11771
88	1149	11768
89	1163	11766
90	1175	11744
91	1190	11746
92	1203	11736
93	1215	11716
94	1227	11694
95	1240	11686
96	1254	11679
97	1266	11658
98	1278	11634
99	1289	11607
100	1303	11600
101	1315	11577
102	1328	11566
103	1341	11554
104	1354	11543
105	1364	11510
106	1376	11489
107	1390	11487
108	1402	11463
109	1415	11454
110	1428	11438
111	1441	11430
112	1455	11423
113	1468	11410
114	1478	11381
115	1491	11368
116	1506	11367
117	1519	11354
118	1532	11344
119	1544	11323
120	1556	11305
121	1567	11284
122	1579	11261
123	1594	11265
124	1607	11255
125	1619	11233
126	1632	11221
127	1645	11209
128	1657	11194
129	1672	11192
130	1684	11176
131	1698	11171
132	1711	11155
133	1725	11150
134	1737	11130
135	1749	11116
136	1763	11108
137	1774	11084
138	1786	11064
139	1799	11055
140	1811	11037
141	1823	11019
142	1836	11004
143	1848	10987
144	1861	10978
145	1873	10960
146	1887	10952
147	1900	10941
148	1914	10936
149	1928	10926
150	1940	10909
151	1952	10893
152	1965	10880
153	1977	10861
154	1989	10846
155	2001	10831
156	2013	10812
157	2026	10799
158	2039	10785
159	2050	10766
160	2062	10750
161	2075	10738
162	2088	10726
163	2102	10718
164	2114	10701
165	2127	10688
166	2139	10673
167	2152	10658
168	2163	10638
169	2176	10624
170	2189	10612
171	2201	10596
172	2215	10589
173	2229	10582
174	2241	10568
175	2254	10553
176	2266	10536
177	2279	10524
178	2292	10512
179	2304	10497
180	2315	10477
181	2328	10465
182	2340	10448
183	2351	10430
184	2363	10413
185	2375	10396
186	2387	10378
187	2398	10358
188	2409	10338
189	2420	10319
190	2433	10306
191	2445	10291
192	2458	10280
193	2471	10267
194	2481	10246
195	2494	10231
196	2506	10215
197	2518	10200
198	2531	10189
199	2545	10180
200	2556	10162
201	2567	10144
202	2580	10131
203	2594	10124
204	2608	10114
205	2619	10097
206	2632	10085
207	2644	10069
208	2658	10059
209	2669	10041
210	2681	10025
211	2693	10012
212	2704	9994
213	2716	9976
214	2728	9961
215	2741	9950
216	2753	9935
217	2765	9921
218	2777	9905
219	2789	9889
220	2801	9874
221	2814	9862
222	2827	9850
223	2838	9834
224	2851	9822
225	2862	9804
226	2875	9793
227	2889	9782
228	2902	9771
229	2913	9754
230	2925	9739
231	2936	9721
232	2946	9700
233	2959	9689
234	2972	9675
235	2984	9661
236	2997	9649
237	3008	9632
238	3020	9618
239	3032	9602
240	3044	9588
241	3057	9575
242	3068	9559
243	3080	9544
244	3093	9532
245	3106	9521
246	3118	9506
247	3130	9491
248	3142	9476
249	3154	9464
250	3167	9451
251	3178	9434
252	3192	9425
253	3204	9413
254	3217	9398
255	3229	9384
256	3241	9370
257	3252	9354
258	3264	9340
259	3276	9326
260	3290	9316
261	3301	9299
262	3314	9287
263	3326	9273
264	3337	9256
265	3348	9240
266	3362	9230
267	3375	9218
268	3388	9207
269	3400	9194
270	3413	9182
271	3424	9166
272	3438	9155
273	3449	9140
274	3462	9128
275	3476	9118
276	3489	9107
277	3502	9095
278	3513	9078
279	3523	9060
280	3535	9047
281	3546	9030
282	3558	9014
283	3568	8995
284	3578	8978
285	3590	8964
286	3604	8953
287	3617	8944
288	3630	8931
289	3641	8916
290	3653	8902
291	3666	8888
292	3678	8875
293	3689	8860
294	3700	8844
295	3712	8829
296	3724	8816
297	3737	8805
298	3751	8794
299	3763	8780
300	3774	8766
301	3786	8752
302	3799	8740
303	3812	8727
304	3823	8712
305	3835	8699
306	3846	8683
307	3857	8665
308	3869	8653
309	3882	8642
310	3894	8627
311	3906	8613
312	3917	8598
313	3930	8586
314	3941	8571
315	3952	8556
316	3965	8543
317	3976	8527
318	3988	8515
319	3999	8499
320	4011	8486
321	4024	8474
322	4035	8459
323	4049	8448
324	4058	8429
325	4071	8418
326	4085	8407
327	4098	8396
328	4110	8382
329	4124	8373
330	4135	8359
331	4149	8348
332	4161	8334
333	4171	8318
334	4184	8306
335	4195	8291
336	4208	8278
337	4220	8265
338	4231	8251
339	4246	8243
340	4259	8232
341	4272	8219
342	4283	8205
343	4295	8190
344	4307	8177
345	4320	8165
346	4331	8151
347	4342	8135
348	4355	8125
349	4368	8112
350	4380	8099
351	4392	8085
352	4403	8070
353	4415	8057
354	4427	8043
355	4439	8031
356	4451	8017
357	4461	8001
358	4473	7988
359	4484	7973
360	4496	7959
361	4507	7943
362	4519	7930
363	4532	7920
364	4544	7905
365	4555	7891
366	4567	7878
367	4578	7863
368	4590	7850
369	4603	7838
370	4618	7829
371	4630	7816
372	4643	7804
373	4655	7792
374	4669	7782
375	4681	7768
376	4693	7755
377	4703	7740
378	4716	7727
379	4727	7712
380	4739	7700
381	4752	7688
382	4765	7676
383	4777	7663
384	4788	7648
385	4800	7635
386	4812	7622
387	4825	7610
388	4836	7596
389	4847	7582
390	4861	7571
391	4874	7560
392	4885	7546
393	4897	7533
394	4910	7520
395	4923	7510
396	4934	7494
397	4946	7481
398	4957	7467
399	4970	7455
400	4981	7441
401	4993	7427
402	5004	7413
403	5016	7401
404	5030	7390
405	5043	7378
406	5056	7367
407	5068	7353
408	5080	7341
409	5092	7328
410	5105	7316
411	5116	7302
412	5130	7291
413	5141	7277
414	5152	7262
415	5165	7251
416	5176	7237
417	5189	7226
418	5203	7215
419	5216	7203
420	5230	7193
421	5241	7179
422	5253	7165
423	5264	7151
424	5275	7136
425	5287	7125
426	5299	7111
427	5312	7099
428	5324	7086
429	5337	7075
430	5349	7062
431	5360	7048
432	5373	7036
433	5387	7026
434	5398	7012
435	5411	7000
436	5424	6988
437	5436	6976
438	5447	6961
439	5459	6948
440	5472	6936
441	5485	6925
442	5499	6914
443	5513	6904
444	5525	6890
445	5538	6879
446	5549	6865
447	5562	6853
448	5574	6840
449	5586	6827
450	5597	6813
451	5610	6802
452	5622	6789
453	5634	6776
454	5646	6763
455	5658	6750
456	5672	6739
457	5685	6727
458	5697	6714
459	5710	6703
460	5721	6690
461	5734	6678
462	5746	6665
463	5760	6653
464	5772	6641
465	5783	6627
466	5797	6616
467	5809	6603
468	5820	6590
469	5833	6578
470	5845	6565
471	5856	6551
472	5867	6537
473	5879	6524
474	5892	6513
475	5905	6501
476	5918	6489
477	5930	6476
478	5942	6463
479	5953	6449
480	5965	6437
481	5978	6425
482	5990	6412
483	6002	6399
484	6014	6386
485	6026	6374
486	6038	6360
487	6050	6348
488	6063	6336
489	6078	6326
490	6091	6314
491	6102	6301
492	6114	6288
493	6125	6274
494	6137	6261
495	6148	6248
496	6160	6234
497	6172	6221
498	6185	6210
499	6197	6197
500	6208	6183
501	6220	6171
502	6234	6160
503	6247	6148
504	6259	6135
505	6273	6124
506	6286	6112
507	6298	6100
508	6310	6086
509	6322	6074
510	6332	6060
511	6343	6046
512	6356	6034
513	6367	6020
514	6378	6007
515	6390	5993
516	6403	5982
517	6415	5969
518	6426	5955
519	6438	5943
520	6449	5929
521	6461	5916
522	6474	5905
523	6486	5892
524	6501	5882
525	6514	5870
526	6525	5856
527	6535	5842
528	6546	5828
529	6557	5815
530	6568	5801
531	6581	5789
532	6592	5775
533	6604	5763
534	6617	5751
535	6629	5739
536	6644	5728
537	6657	5716
538	6667	5703
539	6683	5693
540	6694	5679
541	6705	5666
542	6717	5653
543	6730	5641
544	6741	5628
545	6752	5615
546	6765	5603
547	6777	5590
548	6788	5577
549	6801	5564
550	6813	5551
551	6823	5538
552	6834	5524
553	6847	5512
554	6861	5501
555	6872	5488
556	6885	5476
557	6898	5464
558	6911	5452
559	6926	5442
560	6938	5429
561	6951	5418
562	6964	5406
563	6977	5393
564	6989	5381
565	7003	5369
566	7015	5357
567	7027	5344
568	7040	5333
569	7052	5320
570	7064	5307
571	7076	5295
572	7089	5283
573	7101	5270
574	7113	5257
575	7127	5246
576	7139	5234
577	7150	5220
578	7162	5208
579	7177	5197
580	7192	5186
581	7205	5175
582	7218	5163
583	7231	5151
584	7246	5140
585	7259	5128
586	7271	5115
587	7283	5103
588	7297	5091
589	7310	5079
590	7320	5066
591	7334	5054
592	7346	5042
593	7359	5030
594	7372	5018
595	7385	5006
596	7398	4994
597	7410	4981
598	7424	4970
599	7435	4956
600	7449	4945
601	7463	4934
602	7475	4921
603	7489	4910
604	7501	4897
605	7513	4885
606	7525	4872
607	7536	4859
608	7548	4846
609	7559	4832
610	7571	4820
611	7584	4808
612	7596	4796
613	7610	4784
614	7623	4772
615	7635	4760
616	7647	4747
617	7661	4735
618	7675	4724
619	7688	4712
620	7699	4699
621	7711	4686
622	7723	4673
623	7736	4662
624	7751	4650
625	7765	4639
626	7777	4626
627	7789	4614
628	7801	4601
629	7814	4589
630	7826	4576
631	7839	4564
632	7853	4553
633	7864	4540
634	7878	4528
635	7890	4515
636	7902	4503
637	7915	4491
638	7927	4478
639	7942	4467
640	7954	4454
641	7965	4441
642	7977	4429
643	7990	4416
644	8001	4404
645	8014	4391
646	8027	4379
647	8040	4367
648	8052	4354
649	8065	4342
650	8075	4329
651	8088	4317
652	8100	4304
653	8113	4292
654	8128	4281
655	8139	4268
656	8151	4255
657	8163	4243
658	8175	4230
659	8187	4217
660	8198	4204
661	8211	4192
662	8224	4180
663	8236	4167
664	8249	4155
665	8259	4142
666	8271	4129
667	8282	4116
668	8293	4103
669	8306	4091
670	8317	4078
671	8330	4065
672	8342	4053
673	8352	4040
674	8365	4027
675	8378	4015
676	8390	4003
677	8403	3991
678	8414	3978
679	8427	3965
680	8440	3953
681	8461	3945
682	8474	3933
683	8486	3920
684	8499	3908
685	8511	3895
686	8523	3883
687	8535	3870
688	8547	3858
689	8559	3845
690	8572	3833
691	8585	3821
692	8598	3808
693	8610	3796
694	8621	3783
695	8633	3770
696	8646	3758
697	8657	3745
698	8669	3733
699	8683	3721
700	8696	3709
701	8711	3697
702	8723	3685
703	8736	3673
704	8749	3661
705	8761	3648
706	8774	3636
707	8786	3623
708	8801	3612
709	8815	3600
710	8827	3588
711	8840	3576
712	8854	3563
713	8866	3551
714	8879	3539
715	8893	3527
716	8906	3515
717	8918	3502
718	8931	3490
719	8944	3478
720	8957	3466
721	8969	3453
722	8981	3441
723	8993	3428
724	9005	3415
725	9017	3403
726	9029	3390
727	9042	3378
728	9054	3366
729	9067	3353
730	9079	3341
731	9092	3328
732	9104	3316
733	9117	3304
734	9129	3291
735	9141	3278
736	9152	3266
737	9165	3253
738	9177	3241
739	9190	3229
740	9204	3217
741	9218	3205
742	9230	3192
743	9243	3180
744	9255	3167
745	9268	3155
746	9280	3143
747	9292	3130
748	9304	3117
749	9316	3105
750	9327	3092
751	9340	3080
752	9350	3067
753	9363	3054
754	9374	3041
755	9386	3029
756	9397	3016
757	9412	3005
758	9424	2992
759	9435	2979
760	9447	2967
761	9461	2955
762	9474	2943
763	9486	2930
764	9498	2917
765	9511	2905
766	9523	2893
767	9536	2880
768	9548	2868
769	9561	2855
770	9573	2843
771	9587	2831
772	9600	2819
773	9612	2806
774	9625	2794
775	9637	2782
776	9651	2769
777	9663	2757
778	9676	2745
779	9689	2733
780	9702	2720
781	9716	2708
782	9729	2696
783	9740	2683
784	9752	2670
785	9764	2658
786	9778	2646
787	9791	2634
788	9803	2621
789	9815	2609
790	9828	2596
791	9841	2584
792	9852	2571
793	9865	2559
794	9878	2547
795	9892	2535
796	9903	2522
797	9914	2509
798	9925	2496
799	9936	2484
800	9947	2471
801	9961	2459
802	9975	2447
803	9988	2434
804	10001	2422
805	10013	2410
806	10027	2398
807	10041	2385
808	10055	2374
809	10068	2361
810	10081	2349
811	10093	2336
812	10104	2324
813	10117	2311
814	10128	2299
815	10141	2286
816	10152	2274
817	10167	2262
818	10180	2249
819	10191	2237
820	10205	2225
821	10219	2213
822	10232	2200
823	10245	2188
824	10257	2175
825	10269	2163
826	10281	2150
827	10291	2137
828	10302	2125
829	10314	2112
830	10327	2100
831	10339	2087
832	10352	2075
833	10366	2063
834	10378	2050
835	10389	2038
836	10402	2025
837	10413	2013
838	10425	2000
839	10437	1988
840	10448	1975
841	10462	1963
842	10476	1951
843	10488	1938
844	10502	1926
845	10514	1913
846	10527	1901
847	10540	1889
848	10553	1876
849	10564	1864
850	10577	1851
851	10589	1839
852	10602	1827
853	10614	1814
854	10625	1802
855	10639	1789
856	10652	1777
857	10663	1764
858	10676	1752
859	10688	1740
860	10700	1727
861	10713	1715
862	10728	1703
863	10740	1690
864	10752	1678
865	10765	1665
866	10778	1653
867	10790	1640
868	10804	1628
869	10817	1616
870	10830	1603
871	10842	1591
872	10855	1579
873	10869	1566
874	10882	1554
875	10894	1542
876	10906	1529
877	10916	1516
878	10929	1504
879	10941	1491
880	10953	1479
881	10966	1467
882	10979	1454
883	10991	1442
884	11005	1430
885	11017	1417
886	11029	1405
887	11041	1392
888	11053	1380
889	11065	1367
890	11077	1355
891	11090	1342
892	11103	1330
893	11115	1317
894	11128	1305
895	11140	1293
896	11153	1280
897	11167	1268
898	11179	1255
899	11192	1243
900	11205	1231
901	11219	1218
902	11232	1206
903	11245	1194
904	11259	1181
905	11272	1169
906	11285	1157
907	11299	1144
908	11311	1132
909	11324	1119
910	11338	1107
911	11350	1095
912	11364	1082
913	11377	1070
914	11391	1058
915	11404	1045
916	11417	1033
917	11430	1021
918	11444	1008
919	11456	996
920	11469	983
921	11482	971
922	11495	958
923	11506	946
924	11518	933
925	11529	921
926	11543	909
927	11553	896
928	11565	883
929	11577	871
930	11590	859
931	11603	846
932	11616	834
933	11629	821
934	11644	809
935	11656	796
936	11669	784
937	11683	772
938	11697	759
939	11710	747
940	11724	735
941	11736	722
942	11750	710
943	11763	697
944	11775	685
945	11788	672
946	11802	660
947	11813	648
948	11827	635
949	11839	623
950	11853	610
951	11865	598
952	11879	585
953	11892	573
954	11906	561
955	11920	548
956	11934	536
957	11947	523
958	11959	511
959	11974	498
960	11987	486
961	11999	474
962	12012	461
963	12025	449
964	12037	436
965	12050	424
966	12064	411
967	12075	399
968	12085	386
969	12098	374
970	12110	361
971	12123	349
972	12136	336
973	12150	324
974	12163	311
975	12175	299
976	12188	286
977	12201	274
978	12214	262
979	12227	249
980	12240	237
981	12252	224
982	12265	212
983	12276	199
984	12289	187
985	12302	174
986	12316	162
987	12328	149
988	12339	137
989	12353	124
990	12369	112
991	12383	99
992	12395	87
993	12410	74
994	12422	62
995	12436	49
996	12449	37
997	12462	24
998	12475	12
999	12490	0
